file,loaded,found,accepted,blur,area_ratio,width,height
"calib_0000.png",1,0,0,612.776403,0.000000,1920,1080
"calib_0001.png",1,0,0,531.716218,0.000000,1920,1080
"calib_0002.png",1,0,0,465.421432,0.000000,1920,1080
"calib_0003.png",1,0,0,552.909482,0.000000,1920,1080
"calib_0004.png",1,0,0,537.990797,0.000000,1920,1080
"calib_0005.png",1,0,0,484.187602,0.000000,1920,1080
"calib_0006.png",1,0,0,483.535223,0.000000,1920,1080
"calib_0007.png",1,1,1,552.447785,0.179442,1920,1080
"calib_0008.png",1,0,0,611.165330,0.000000,1920,1080
"calib_0009.png",1,1,1,421.341598,0.230874,1920,1080
"calib_0010.png",1,0,0,623.578907,0.000000,1920,1080
"calib_0011.png",1,0,0,532.701965,0.000000,1920,1080
"calib_0012.png",1,1,1,609.089663,0.142086,1920,1080
"calib_0013.png",1,0,0,765.166131,0.000000,1920,1080
"calib_0014.png",1,1,1,568.090947,0.237095,1920,1080
"calib_0015.png",1,0,0,559.657242,0.000000,1920,1080
"calib_0016.png",1,0,0,733.605438,0.000000,1920,1080
"calib_0017.png",1,0,0,577.186173,0.000000,1920,1080
"calib_0018.png",1,0,0,553.667947,0.000000,1920,1080
"calib_0019.png",1,0,0,661.557010,0.000000,1920,1080
"calib_0020.png",1,0,0,548.230214,0.000000,1920,1080
"calib_0021.png",1,1,1,368.618981,0.318210,1920,1080
"calib_0022.png",1,0,0,535.735872,0.000000,1920,1080
"calib_0023.png",1,0,0,684.475417,0.000000,1920,1080
"calib_0024.png",1,0,0,622.157247,0.000000,1920,1080
"calib_0025.png",1,1,1,540.900452,0.198890,1920,1080
"calib_0026.png",1,1,1,509.185619,0.188333,1920,1080
"calib_0027.png",1,0,0,709.958607,0.000000,1920,1080
"calib_0028.png",1,0,0,588.553180,0.000000,1920,1080
"calib_0029.png",1,0,0,542.477942,0.000000,1920,1080
"calib_0030.png",1,0,0,491.867721,0.000000,1920,1080
"calib_0031.png",1,0,0,615.602405,0.000000,1920,1080
"calib_0032.png",1,0,0,626.914522,0.000000,1920,1080
"calib_0033.png",1,0,0,568.385272,0.000000,1920,1080
"calib_0034.png",1,0,0,674.438405,0.000000,1920,1080
"calib_0035.png",1,0,0,631.467554,0.000000,1920,1080
"calib_0036.png",1,1,1,619.760322,0.139583,1920,1080
"calib_0037.png",1,0,0,686.895554,0.000000,1920,1080
"calib_0038.png",1,0,0,555.553307,0.000000,1920,1080
"calib_0039.png",1,0,0,587.475439,0.000000,1920,1080
"calib_0040.png",1,0,0,671.334106,0.000000,1920,1080
"calib_0041.png",1,0,0,505.310242,0.000000,1920,1080
"calib_0042.png",1,0,0,643.440215,0.000000,1920,1080
"calib_0043.png",1,0,0,462.479092,0.000000,1920,1080
"calib_0044.png",1,0,0,462.080847,0.000000,1920,1080
"calib_0045.png",1,0,0,568.515900,0.000000,1920,1080
"calib_0046.png",1,0,0,597.597063,0.000000,1920,1080
"calib_0047.png",1,0,0,750.896550,0.000000,1920,1080
"calib_0048.png",1,0,0,649.293471,0.000000,1920,1080
"calib_0049.png",1,0,0,601.492718,0.000000,1920,1080
"calib_0050.png",1,1,1,623.155914,0.279498,1920,1080
"calib_0051.png",1,0,0,548.649467,0.000000,1920,1080
"calib_0052.png",1,0,0,800.134736,0.000000,1920,1080
"calib_0053.png",1,1,1,490.300195,0.127373,1920,1080
"calib_0054.png",1,0,0,430.575567,0.000000,1920,1080
"calib_0055.png",1,0,0,500.267116,0.000000,1920,1080
"calib_0056.png",1,1,1,573.312599,0.211543,1920,1080
"calib_0057.png",1,0,0,596.055836,0.000000,1920,1080
"calib_0058.png",1,0,0,852.490842,0.000000,1920,1080
"calib_0059.png",1,0,0,716.382915,0.000000,1920,1080
